model_name,developer,model_type,wh_per_query,wh_per_100_queries,co2_g_per_query,co2_g_per_100_queries,led_10W_seconds,wh_per_1000_queries,co2_g_per_1000_queries
Distil Whisper Large,HuggingFace,Speech,2.152e-05,0.002152,8.97e-06,0.000897,0.0077,0.02152,0.00897
Distil Whisper Medium,HuggingFace,Speech,1.697e-05,0.001697,7.08e-06,0.000708,0.0061,0.01697,0.00708
Distil Whisper Small,HuggingFace,Speech,1.557e-05,0.001557,6.49e-06,0.000649,0.0056,0.01557,0.00649
Whisper Base,OpenAI,Speech,1.655e-05,0.001655,6.9e-06,0.00069,0.006,0.01655,0.0069
Whisper Tiny,OpenAI,Speech,1.344e-05,0.001344,5.61e-06,0.00056,0.0048,0.01344,0.0056
Whisper Large v3,OpenAI,Speech,8.668e-05,0.008668,3.615e-05,0.003615,0.0312,0.08668,0.03615
Whisper Small,OpenAI,Speech,2.997e-05,0.002997,1.25e-05,0.00125,0.0108,0.02997,0.0125
Whisper Medium,OpenAI,Speech,6.142e-05,0.006142,2.561e-05,0.002561,0.0221,0.06142,0.02561
s2t small librispeech asr,Meta,Speech,1.72e-05,0.00172,7.17e-06,0.000717,0.0062,0.0172,0.00717
hubert large ls960 ft,Meta,Speech,1.62e-06,0.000162,6.7e-07,6.8e-05,0.0006,0.00162,0.00068
mms 1b all,Meta,Speech,4.28e-06,0.000428,1.79e-06,0.000178,0.0015,0.00428,0.00178
wav2vec2 base 960h,Meta,Speech,6.2e-07,6.2e-05,2.6e-07,2.6e-05,0.0002,0.00062,0.00026
sew d base plus 400k ft ls100h,asapp,Speech,1.54e-06,0.000154,6.4e-07,6.4e-05,0.0006,0.00154,0.00064
BLIP 2 (Flan T5 XXL),Salesforce,Image,0.00017993,0.017993,7.503e-05,0.007503,0.0648,0.17993,0.07503
BLIP Large,Salesforce,Image,4.851e-05,0.004851,2.023e-05,0.002023,0.0175,0.04851,0.02023
BLIP Base,Salesforce,Image,4.712e-05,0.004712,1.965e-05,0.001965,0.017,0.04712,0.01965
blip2 OPT 2.7B,Salesforce,Image,0.00010134,0.010134,4.226e-05,0.004226,0.0365,0.10134,0.04226
blip2 flan t5 xl,Salesforce,Image,0.00010215,0.010215,4.26e-05,0.00426,0.0368,0.10215,0.0426
blip2 opt 6.7b,Salesforce,Image,0.00017496,0.017496,7.296e-05,0.007296,0.063,0.17496,0.07296
git large coco,Microsoft,Image,0.00017032,0.017032,7.102e-05,0.007102,0.0613,0.17032,0.07102
git base,Microsoft,Image,7.471e-05,0.007471,3.115e-05,0.003115,0.0269,0.07471,0.03115
vlrm blip2 OPT 2.7B,sashakunitsyn,Image,0.00010335,0.010335,4.31e-05,0.00431,0.0372,0.10335,0.0431
pix2struct base,Google,Image,4.575e-05,0.004575,1.908e-05,0.001908,0.0165,0.04575,0.01908
ViT Perceiver Conv,Google,Image,2.64e-06,0.000264,1.1e-06,0.00011,0.001,0.00264,0.0011
BEiT Base,Microsoft,Image,7.4e-07,7.4e-05,3.1e-07,3.1e-05,0.0003,0.00074,0.00031
ResNet 50,Microsoft,Image,3.9e-07,3.9e-05,1.6e-07,1.6e-05,0.0001,0.00039,0.00016
swin base patch4 window12 384,Microsoft,Image,1.53e-06,0.000153,6.4e-07,6.4e-05,0.0006,0.00153,0.00064
resnet 18,Microsoft,Image,3e-07,3e-05,1.2e-07,1.3e-05,0.0001,0.0003,0.00013
swinv2 large patch4 window12 192 22k,Microsoft,Image,1.29e-06,0.000129,5.4e-07,5.4e-05,0.0005,0.00129,0.00054
swinv2 large patch4 window12 192 22k,Microsoft,Image,1.39e-06,0.000139,5.8e-07,5.8e-05,0.0005,0.00139,0.00058
swinv2 tiny patch4 window8 256,Microsoft,Image,7.7e-07,7.7e-05,3.2e-07,3.2e-05,0.0003,0.00077,0.00032
swinv2 tiny patch4 window16 256,Microsoft,Image,8.5e-07,8.5e-05,3.5e-07,3.5e-05,0.0003,0.00085,0.00035
BEiT Base22k ft22k,Microsoft,Image,7.8e-07,7.8e-05,3.2e-07,3.3e-05,0.0003,0.00078,0.00033
mobilevit small,apple,Image,5.1e-07,5.1e-05,2.1e-07,2.1e-05,0.0002,0.00051,0.00021
vit tiny patch16 224,WinKawaks,Image,3.8e-07,3.8e-05,1.6e-07,1.6e-05,0.0001,0.00038,0.00016
ConvNeXt Base 384 22k 1k,Meta,Image,1.12e-06,0.000112,4.7e-07,4.7e-05,0.0004,0.00112,0.00047
ConvNeXt Tiny 224,Meta,Image,4.5e-07,4.5e-05,1.9e-07,1.9e-05,0.0002,0.00045,0.00019
ConvNeXt Large 224,Meta,Image,9.7e-07,9.7e-05,4.1e-07,4e-05,0.0004,0.00097,0.0004
mit b5,nvidia,Image,2.49e-06,0.000249,1.04e-06,0.000104,0.0009,0.00249,0.00104
efficientnet b7,Google,Image,1.85e-06,0.000185,7.7e-07,7.7e-05,0.0007,0.00185,0.00077
vit base patch32 384,Google,Image,7.6e-07,7.6e-05,3.2e-07,3.2e-05,0.0003,0.00076,0.00032
vit base patch16 384,Google,Image,9.9e-07,9.9e-05,4.1e-07,4.1e-05,0.0004,0.00099,0.00041
vit large patch32 384,Google,Image,1.16e-06,0.000116,4.9e-07,4.8e-05,0.0004,0.00116,0.00048
mobilenet_v2_1.0_224,Google,Image,4.1e-07,4.1e-05,1.7e-07,1.7e-05,0.0001,0.00041,0.00017
ViT Base,Google,Image,5.8e-07,5.8e-05,2.4e-07,2.4e-05,0.0002,0.00058,0.00024
bit 50,Google,Image,8.3e-07,8.3e-05,3.5e-07,3.5e-05,0.0003,0.00083,0.00035
Mitsua Diffusion,Community,Image,0.00018681,0.018681,7.79e-05,0.00779,0.0673,0.18681,0.0779
Counterfeit v2.5,Community,Image,0.00018737,0.018737,7.813e-05,0.007813,0.0675,0.18737,0.07813
sd turbo,Stability AI,Image,0.00018986,0.018986,7.917e-05,0.007917,0.0684,0.18986,0.07917
stable cascade,Stability AI,Image,0.00121436,0.121436,0.00050639,0.050639,0.4372,1.21436,0.50639
stable diffusion 2 1,Stability AI,Image,0.00053447,0.053447,0.00022287,0.022287,0.1924,0.53447,0.22287
sdxl turbo,Stability AI,Image,0.00038557,0.038557,0.00016078,0.016078,0.1388,0.38557,0.16078
stable diffusion xl base 1.0,Stability AI,Image,0.00163985,0.163985,0.00068382,0.068382,0.5903,1.63985,0.68382
dreamlike photoreal 2.0,dreamlike-art,Image,0.00058133,0.058133,0.00024242,0.024241,0.2093,0.58133,0.24241
openjourney v4,prompthero,Image,0.00020337,0.020337,8.48e-05,0.008481,0.0732,0.20337,0.08481
openjourney,prompthero,Image,0.00019688,0.019688,8.21e-05,0.00821,0.0709,0.19688,0.0821
LCM_Dreamshaper_v7,SimianLuo,Image,0.00032204,0.032204,0.00013429,0.013429,0.1159,0.32204,0.13429
epiCPhotoGasm,Yntec,Image,0.00058657,0.058657,0.0002446,0.02446,0.2112,0.58657,0.2446
Cond. DETR ResNet 50,Microsoft,Image,2.14e-06,0.000214,8.9e-07,8.9e-05,0.0008,0.00214,0.00089
DETR ResNet 50 DC5,Meta,Image,3.29e-06,0.000329,1.37e-06,0.000137,0.0012,0.00329,0.00137
